date,symbol,trade_id,entry_date,entry_price,total_shares,total_trade_pnl,targets_hit,exit_type,t1_pnl,t2_pnl,t3_pnl,trail_pnl,time_exit_pnl,final_exit_reason,RSI_14,VOL_20,NORM_ATR,volume_ratio,volume_percentile,ema_50_200_diff,ema_flag,NORM_BB,BB_Squeeze
2021-01-04,NSE:ADANIGREEN-EQ,2,2020-12-14,1010.8,145,9370.514535714288,T1,T1_WITH_TIME_EXIT,2263.3717857142833,0.0,0.0,0.0,7107.1427500000045,TIMEEXIT,23.120837297811637,0.0284783531750864,0.0519425914410085,0.2129436759449497,0.503968253968254,0.3588957810824155,1,0.0729888134561261,1.0
2020-11-04,NSE:ADANIPOWER-EQ,1,2020-11-02,35.95,866,141.4088714285706,T1,T1_ONLY,163.19457142857058,0.0,0.0,-21.785700000000002,0.0,STOPLOSS,45.45454545454548,0.006695984300697,0.0184780449036359,1.5412539361442916,0.115079365079365,-0.1023950331793304,-1,0.5564721926436785,0.0
2020-11-09,NSE:ADANIPOWER-EQ,2,2020-11-04,36.15,864,1305.3427714285726,"T1,T2",T2_PARTIAL,173.6039999999996,250.5633000000007,0.0,881.1754714285723,0.0,STOPLOSS,50.877192982456094,0.0065045791777305,0.0195613515115589,1.129665605105819,0.0793650793650793,-0.1002265694105052,-1,0.7067902995008343,0.0
2022-09-28,NSE:ADANIPOWER-EQ,3,2022-09-26,366.5,1673,6746.328650000006,T1,T1_ONLY,7175.500150000006,0.0,0.0,-429.17150000000004,0.0,STOPLOSS,30.2158273381295,0.0287595359948318,0.0400409276944065,0.8929341237929422,0.1349206349206349,0.2818812278991259,1,-0.1970103430798537,1.0
2024-12-31,NSE:ADANIPOWER-EQ,5,2024-12-20,497.9,358,10503.359500000006,"T1,T2",T2_PARTIAL,1823.4603714285674,2593.5953571428604,0.0,6086.303771428579,0.0,STOPLOSS,22.34273318872019,0.0502821657102962,0.0352623877428054,0.513532476709702,0.8095238095238095,-0.0622240634438179,-1,0.2977209145852222,1.0
2025-03-11,NSE:ADVENZYMES-EQ,1,2025-02-28,259.85,2442,35475.28246071424,"T1,T2",T2_PARTIAL,8766.72450357141,12404.325342857148,0.0,14304.232614285685,0.0,STOPLOSS,11.092985318107722,0.0234995938004092,0.0470738612936034,4.839755186881712,0.9722222222222222,-0.1826911341259507,-1,-0.0089661203903143,0.0
2019-10-27,NSE:AGI-EQ,1,2019-10-22,39.05,1064,3732.6014428571425,"T1,T2",T2_PARTIAL,504.2615285714292,716.9263999999994,0.0,2511.413514285714,0.0,STOPLOSS,29.49640287769786,0.0186940413701252,0.0415218584232668,0.9624906382624616,0.7817460317460317,-2.712140685608974,-1,0.264952008192181,0.0
2020-01-02,NSE:AGI-EQ,2,2019-12-17,43.55,1732,6149.197685714289,"T1,T2",T2_PARTIAL,674.941428571428,960.7702000000018,0.0,4513.486057142859,0.0,STOPLOSS,24.78632478632474,0.0120471797140366,0.030834836804986,0.4892299828990163,0.3174603174603174,-2.003257861870187,-1,0.1429272893552846,0.0
2023-06-16,NSE:AGI-EQ,3,2023-06-12,574.55,1106,34552.46741428568,"T1,T2",T2_PARTIAL,6023.286285714279,8551.382457142849,0.0,19977.79867142855,0.0,STOPLOSS,38.20224719101122,0.0228340744960432,0.0326093713092233,0.3004160698451674,0.119047619047619,0.2102340613390483,1,0.3131862122624549,1.0
2023-07-10,NSE:AGI-EQ,4,2023-06-19,595.2,1169,31795.647953571366,T1,T1_WITH_TIME_EXIT,8420.80715357142,0.0,0.0,0.0,23374.840799999944,TIMEEXIT,59.42671394799056,0.0296341969717983,0.041348646313364,0.9924169933809862,0.5833333333333334,0.2153124927823331,1,0.607687379090899,1.0
