date,portfolio_value
2020-12-29,162520.61436535727
2020-12-30,163023.55692535726
2020-12-31,164244.35692535725
2021-01-01,165030.87692535727
2021-01-04,166564.66162035725
2021-01-05,167866.11162035726
2021-01-06,167295.48162035726
2021-01-07,167839.08011535724
2021-01-08,173379.34900821437
2021-01-11,172780.5783282144
2021-01-12,172027.59832821437
2021-01-13,177516.3764782144
2021-01-14,177684.7364782144
2021-01-15,175570.4064782144
2021-01-18,174219.39633321442
2021-01-19,175903.95588321442
2021-01-20,178193.3888939287
2021-01-21,177244.91315964298
2021-01-22,175320.77278964297
2021-01-25,174244.89278964297
2021-01-27,171382.420189643
2021-01-28,170446.360189643
2021-01-29,170684.060189643
2021-02-01,172589.14309964297
2021-02-02,172853.263099643
2021-02-03,173123.87309964298
2021-02-04,172924.223099643
2021-02-05,172862.233099643
2021-02-08,173486.78072250012
2021-02-09,174106.81215821436
2021-02-10,171264.9121582144
2021-02-11,171377.62795821438
2021-02-12,166921.22795821438
2021-02-15,166013.17795821436
2021-02-16,178810.05624035723
2021-02-17,186251.02591535723
2021-02-18,198439.7259153572
2021-02-19,190583.77591535723
2021-02-22,183989.12591535723
2021-02-23,181854.44225821437
2021-02-24,182430.69225821435
2021-02-25,183651.21732964297
2021-02-26,184035.92984392866
2021-03-01,186179.97984392868
2021-03-02,188606.93542607152
2021-03-03,188736.28542607152
2021-03-04,188737.61725464294
2021-03-05,184782.68835464295
2021-03-08,197450.72551535722
2021-03-09,194834.62828964298
2021-03-10,194225.49893964297
2021-03-12,193702.58893964294
2021-03-15,192046.328939643
2021-03-16,191945.388939643
2021-03-17,188754.0387675001
2021-03-18,188110.39494607155
2021-03-19,186708.97050321437
2021-03-22,189165.68050321436
2021-03-23,191325.70050321438
2021-03-24,191895.3384817858
2021-03-25,188696.6784817858
2021-03-26,188771.61848178582
2021-03-30,189583.32848178578
2021-03-31,190399.8407160715
2021-04-01,196522.27074464294
2021-04-05,194259.03708035723
2021-04-06,201572.83553035726
2021-04-07,199880.20440535722
2021-04-08,198783.04025535722
2021-04-09,201205.79025535722
2021-04-12,187209.64488892868
2021-04-13,192275.99169250013
2021-04-15,189454.43372964294
2021-04-16,193401.73973678582
2021-04-19,189820.7290867858
2021-04-20,196522.6321867858
2021-04-22,197770.03218678577
2021-04-23,194728.15548678584
2021-04-26,194337.5554867858
2021-04-27,196450.45548678582
2021-04-28,201819.76637964297
2021-04-29,204169.86946964296
2021-04-30,204777.00946964297
2021-05-03,204244.57946964295
2021-05-04,203415.29946964298
2021-05-05,204854.059469643
2021-05-06,203253.24946964296
2021-05-07,202848.21946964297
2021-05-10,203294.39946250012
2021-05-11,203376.35946250008
2021-05-12,204363.7394625001
2021-05-14,200467.2394625001
2021-05-17,205912.39293464296
2021-05-18,206810.1075882144
2021-05-19,204492.8575882144
2021-05-20,210047.15758821438
2021-05-21,212217.59747392865
2021-05-24,211489.59747392865
2021-05-25,212934.15194535727
2021-05-26,216999.85194535722
2021-05-27,217160.9519453572
2021-05-28,213084.05194535723
2021-05-31,213534.18106678582
2021-06-01,211397.4810667858
2021-06-02,210098.88106678583
2021-06-03,216908.43106678582
2021-06-04,223312.38106678583
2021-06-07,227429.6682882144
2021-06-08,226581.7682882144
2021-06-09,229875.73696321438
2021-06-10,231473.88971321442
2021-06-11,230881.5897132144
2021-06-14,230718.4397132144
2021-06-15,234377.69782750012
2021-06-16,233137.3478275001
2021-06-17,231512.9028132144
2021-06-18,228333.76345785725
2021-06-21,237814.24365785724
2021-06-22,237760.04365785723
2021-06-23,236751.20485928582
2021-06-24,239507.3810592858
2021-06-25,240575.5283992858
2021-06-28,241687.92839928583
2021-06-29,240868.2083992858
2021-06-30,240877.80839928583
2021-07-01,240450.48839928582
2021-07-02,240064.1079892858
2021-07-05,247647.83173928584
2021-07-06,241590.26748928585
2021-07-07,248712.0998464287
2021-07-08,248518.61550357155
2021-07-09,248038.52785714297
2021-07-12,247581.127857143
2021-07-13,248214.5404857144
2021-07-14,247158.34048571438
2021-07-15,246316.6904857144
2021-07-16,247342.7404857144
2021-07-19,247105.9404857144
2021-07-20,243588.85482321444
2021-07-22,243904.47582321445
2021-07-23,245330.54227321447
2021-07-26,244294.49227321448
2021-07-27,242428.04227321447
2021-07-28,240888.15314464306
2021-07-29,239079.15314464303
2021-07-30,242817.2953660716
2021-08-02,244039.6953660716
2021-08-03,244247.35267321448
2021-08-04,243533.35603392875
2021-08-05,240344.3545767859
2021-08-06,241787.3545767859
2021-08-09,228871.1163375002
2021-08-10,228000.91844464306
2021-08-11,228079.71844464308
2021-08-12,230118.66844464306
2021-08-13,228611.61844464307
2021-08-16,245263.42708750023
2021-08-17,241969.91122678592
2021-08-18,245549.3612267859
2021-08-20,242408.4612267859
2021-08-23,240648.7612267859
2021-08-24,247791.17120892878
2021-08-25,255328.81378035736
2021-08-26,263092.63597321446
2021-08-27,259234.70620178588
2021-08-30,272859.0685017859
2021-08-31,273051.2185017859
2021-09-01,272149.8685017859
2021-09-02,274231.9185017859
2021-09-03,274305.7185017859
2021-09-06,273656.3185017859
2021-09-07,276184.01850178593
2021-09-08,276645.6185017859
2021-09-09,274978.5685017859
2021-09-13,278611.1185017859
2021-09-14,279753.9022089288
2021-09-15,281063.4022089288
2021-09-16,282973.98100892873
2021-09-17,285136.97353750013
2021-09-20,282158.03358750016
2021-09-21,278078.38358750014
2021-09-22,280869.83358750015
2021-09-23,282223.03358750016
2021-09-24,277751.13358750014
2021-09-27,288510.3461410716
2021-09-28,283329.92659107165
2021-09-29,287584.3765910716
2021-09-30,296903.0466339288
2021-10-01,295431.98652535735
2021-10-04,302627.69966821454
2021-10-05,305576.8208682145
2021-10-06,300944.4008682145
2021-10-07,302690.49705250026
2021-10-08,306489.4470525002
2021-10-11,306654.41659535735
2021-10-12,318202.0884810717
2021-10-13,322427.60512392886
2021-10-14,318808.1495525002
2021-10-18,324495.9568525002
2021-10-19,325916.14848821453
2021-10-20,327048.3236539288
2021-10-21,327811.80365392886
2021-10-22,315393.9446996431
2021-10-25,307249.5219710716
2021-10-26,310370.93197107164
2021-10-27,301975.58197107166
2021-10-28,290020.1083375002
2021-10-29,289536.9683375002
2021-11-01,299256.1083375002
2021-11-02,314878.8183375002
2021-11-03,304322.7383375002
2021-11-04,309797.9783375002
2021-11-08,311902.50833750016
2021-11-09,311475.62833750015
2021-11-10,309306.1183375002
2021-11-11,302757.58833750023
2021-11-12,306539.4983375002
2021-11-15,284770.2856375002
2021-11-16,285000.25563750014
2021-11-17,282331.4815275002
2021-11-18,280086.8815275001
2021-11-22,271583.63664892875
2021-11-23,271335.03006678587
2021-11-24,267437.0400667859
2021-11-25,272917.29330464307
2021-11-26,270117.5043575002
2021-11-29,267521.2302467859
2021-11-30,264107.81024678587
2021-12-01,267401.4102467859
2021-12-02,273276.9702467859
2021-12-03,277573.43024678587
2021-12-06,270136.4262167859
2021-12-07,273921.60159392876
2021-12-08,275277.48064250016
2021-12-09,276166.01367678586
2021-12-10,277578.6936767859
2021-12-13,286317.66172250017
2021-12-14,281588.4352225002
2021-12-15,282854.47522250016
2021-12-16,284037.3656760716
2021-12-17,277299.64207607164
2021-12-20,264156.5378510716
2021-12-21,266575.03557964304
2021-12-22,277134.8855796431
2021-12-23,282402.1917010716
2021-12-24,278457.5260510716
2021-12-27,282862.0260510716
2021-12-28,288403.44904392876
2021-12-29,281658.04139392875
2021-12-30,283065.84139392874
2021-12-31,283156.1745225002
2022-01-03,282424.0745225002
2022-01-04,281913.4745225002
2022-01-05,281500.9745225002
2022-01-06,281473.3745225002
2022-01-07,280744.7313682145
2022-01-10,277594.16636107164
2022-01-11,279629.0163610716
2022-01-12,276534.97636107163
2022-01-13,278565.53636107163
2022-01-14,281058.6952660716
2022-01-17,282468.66408035735
2022-01-18,281380.76408035733
2022-01-19,280257.56830178585
2022-01-20,281057.9683017859
2022-01-21,276308.66830178583
2022-01-24,272466.5518767859
2022-01-25,275809.95187678584
2022-01-27,272861.7518767859
2022-01-28,276584.28644464305
2022-01-31,276510.55618750013
2022-02-01,279363.25618750014
2022-02-02,286170.25618750014
2022-02-03,288000.52157321444
2022-02-04,287284.4215732144
2022-02-07,283295.79662678577
2022-02-08,279803.6106267858
2022-02-09,281608.2106267858
2022-02-10,285289.5969410715
2022-02-11,282123.2969410715
2022-02-14,273485.7841910715
2022-02-15,280674.90807321435
2022-02-16,280881.90807321435
2022-02-17,281593.6080732144
2022-02-18,279746.6080732144
2022-02-21,277859.7080732144
2022-02-22,275532.6715932144
2022-02-23,275810.9315932144
2022-02-24,261167.94518357154
2022-02-25,271511.1378550001
2022-02-28,277001.9623978573
2022-03-02,275593.76239785727
2022-03-03,275664.2518335715
2022-03-04,275987.65183357155
2022-03-07,275401.41633357154
2022-03-08,278048.3663335715
2022-03-09,285931.59552642866
2022-03-10,291613.68271928583
2022-03-11,291871.08271928586
2022-03-14,304269.4827192858
2022-03-15,305617.9162264287
2022-03-16,307679.5162264287
2022-03-17,311730.44931214297
2022-03-21,309914.44931214297
2022-03-22,304374.6908050001
2022-03-23,307725.15725142864
2022-03-24,305548.4737514286
2022-03-25,303883.6737514286
2022-03-28,301001.6737514286
2022-03-29,299290.2534228572
2022-03-30,308215.5046228572
2022-03-31,305449.6499657143
2022-04-01,315569.9876800001
2022-04-04,322578.5684514286
2022-04-05,327224.52809428575
2022-04-06,333287.52809428575
2022-04-07,332063.27809428575
2022-04-08,331749.64692285727
2022-04-11,332729.24692285724
2022-04-12,331518.1969228572
2022-04-13,332045.3469228572
2022-04-18,331800.2407585715
2022-04-19,326757.3807585715
2022-04-20,325877.49075857154
2022-04-21,325531.1407585715
2022-04-22,325899.5899010715
2022-04-25,321030.8399010715
2022-04-26,321748.7399010715
2022-04-27,319249.73127250007
2022-04-28,321451.4606725001
2022-04-29,321704.77067250013
2022-05-02,317980.0069225001
2022-05-04,305181.3298025001
2022-05-05,303913.67980250006
2022-05-06,298395.6696792858
2022-05-09,295308.21967928583
2022-05-10,290875.0079810715
2022-05-11,284869.7294757143
2022-05-12,274256.62947571435
2022-05-13,284775.44897571433
2022-05-16,296633.6655257143
2022-05-17,307930.0369257143
2022-05-18,315926.2398614286
2022-05-19,322044.03649714286
2022-05-20,331509.83649714285
2022-05-23,327051.63649714284
2022-05-24,321703.16719714284
2022-05-25,312292.2396471428
2022-05-26,303237.02984892856
2022-05-27,306814.6798489286
2022-05-30,307309.30438464286
2022-05-31,315185.7543846429
2022-06-01,321892.4164417857
2022-06-02,323399.5164417857
2022-06-03,315774.6486346428
2022-06-06,313294.8486346429
2022-06-07,312278.6486346428
2022-06-08,307017.9986346429
2022-06-09,310361.3986346428
2022-06-10,307378.6986346429
2022-06-13,297011.39890607144
2022-06-14,297388.7037060714
2022-06-15,300908.60370607144
2022-06-16,289264.40370607143
2022-06-17,293984.42694892857
2022-06-20,289084.83708464284
2022-06-21,303011.1381382143
2022-06-22,295913.7507846429
2022-06-23,297567.5007846429
2022-06-24,300709.2507846429
2022-06-27,305953.88670607144
2022-06-28,306599.38670607144
2022-06-29,304974.88670607144
2022-06-30,300036.88670607144
2022-07-01,299654.38670607144
2022-07-04,302690.78302750003
2022-07-05,299300.75997750007
