date,symbol,trade_id,entry_date,entry_price,total_shares,total_trade_pnl,targets_hit,exit_type,t1_pnl,t2_pnl,t3_pnl,trail_pnl,time_exit_pnl,final_exit_reason,RSI_14,VOL_20,NORM_ATR,volume_ratio,volume_percentile,ema_50_200_diff,ema_flag,NORM_BB,BB_Squeeze
2024-06-21,NSE:MMTC-EQ,3,2024-06-05,67.6,19703,172555.33373928553,"T1,T2",T2_PARTIAL,19066.120496428528,26974.23281428571,0.0,126514.98042857127,0.0,STOPLOSS,38.48238482384826,0.0259615063736323,0.0487637362637362,1.007937639939713,0.3055555555555556,0.1150094124806503,1,0.084650437920905,0.0
2024-08-02,NSE:MMTC-EQ,4,2024-07-29,105.03,17798,50080.53419999997,T1,T1_ONLY,51389.10296999997,0.0,0.0,-1308.56877,0.0,STOPLOSS,63.69958275382476,0.0729314266466078,0.0927354089307816,0.8880353134156439,0.9285714285714286,0.1304850146719809,1,0.8413193322289485,0.0
2020-12-10,NSE:MOIL-EQ,3,2020-11-27,123.65,1078,11531.885585714277,"T1,T2",T2_PARTIAL,1061.7725214285706,1513.7689857142843,0.0,8956.344078571421,0.0,STOPLOSS,52.88461538461539,0.0168554037549919,0.0276125007220842,4.595707954008243,0.9603174603174603,-0.0476473267756951,-1,0.3362346387439798,1.0
2022-02-14,NSE:MSTCLTD-EQ,2,2022-01-24,328.65,1852,8706.929571428556,T1,T1_ONLY,9132.859971428556,0.0,0.0,-425.93039999999996,0.0,STOPLOSS,46.65617623918175,0.029486782849909,0.0510312751298602,0.8499594163013345,0.4722222222222222,0.1047352201721647,1,0.1787591635627677,0.0
2024-11-21,NSE:MSTCLTD-EQ,3,2024-11-14,582.7,1814,56096.87823571423,"T1,T2",T2_PARTIAL,13847.803657142844,19619.116028571407,0.0,22629.958549999978,0.0,STOPLOSS,30.47052154195012,0.0215294327335031,0.0447301968668023,1.274996546987427,0.4722222222222222,-0.0975322430863089,-1,0.0268479506416526,0.0
2022-08-02,NSE:MTARTECH-EQ,1,2022-07-26,1240.05,214,11068.384200000022,"T1,T2",T2_PARTIAL,1913.384914285718,2746.499785714291,0.0,6408.499500000013,0.0,STOPLOSS,51.72124265323254,0.0224464812169079,0.0251343551815307,0.4445503903131085,0.1984126984126984,-0.179167916161427,-1,0.4059325303342382,1.0
2020-12-18,NSE:NAM-INDIA-EQ,1,2020-12-14,305.05,609,1377.3099000000022,T1,T1_ONLY,1507.2612000000022,0.0,0.0,-129.9513,0.0,STOPLOSS,66.57608695652172,0.0145335486372603,0.0280281920996557,0.5168358592519527,0.1473214285714285,-0.0083256027129975,-1,0.8552214787650424,0.0
2024-06-27,NSE:NAZARA-EQ,3,2024-06-07,810.4,878,14135.924339285702,T1,T1_ONLY,14634.320339285703,0.0,0.0,-498.396,0.0,STOPLOSS,69.88982778906835,0.0612669979131054,0.0697318784374559,1.2639010596729463,0.9206349206349206,-0.0561026914005774,-1,1.0135600574691928,0.0
2022-01-06,NSE:NESTLEIND-EQ,1,2022-01-03,983.9,362,1182.5358092857102,T1,T1_ONLY,1431.4625092857102,0.0,0.0,-248.92669999999998,0.0,STOPLOSS,65.93613933236564,0.0091546258541948,0.014361941544582,0.5919286820783061,0.0198412698412698,0.0356035038049989,1,0.99863268114166,0.0
2022-01-11,NSE:NESTLEIND-EQ,2,2022-01-06,982.38,363,1266.0275185714313,T1,T1_ONLY,1515.5520385714312,0.0,0.0,-249.52452,0.0,STOPLOSS,67.13337356668677,0.0089418582528045,0.0151687010845381,0.7420285512695359,0.0595238095238095,0.037010225555378,1,0.7597040675027432,0.0
