entry_date,symbol,entry_price,shares,investment_amount,probability,darvas_breakout_up,feature_NORM_ATR,feature_volume_ratio,feature_VOL_20,feature_darvas_high_normalized,feature_ema_9_21_diff,feature_ema_50_200_diff,feature_distance_from_high,feature_darvas_low_normalized,feature_Normalized_JMA,feature_close_normalized
2023-01-03,NSE:AARTIIND-EQ,616.8,1105,681564.0,,0,0.0240063924402445,0.4634000708950926,0.0139957306829712,1.4987029831387808,-0.0229588375383289,-0.1497706142678322,0.9497044287237136,1.1755025940337225,-1.6567074951449927,0.05029557127628634
2023-01-10,NSE:JTLIND-EQ,75.79,8688,658463.52,,0,0.0403464460068233,0.5894816122209882,0.0287430812874532,0.7405990236178915,-0.013898778412244,0.1328865672437618,0.2316566682048914,0.6341205963847473,-0.8678044813755706,0.7683433317951086
2023-01-16,NSE:OFSS-EQ,3094.3,90,278487.0,,0,0.0129685458515888,1.5568598799839104,0.0055524538601103,1.0648611963933683,0.0034747977295314,-0.05261889260683,0.8457000574602566,0.9621723814756163,-0.3131147759812575,0.15429994253974347
2023-01-19,NSE:OFSS-EQ,3095.45,193,597421.85,,0,0.014728991630573,1.536354563173158,0.0061154641448036,1.0644655865867645,0.007308703126621,-0.0491192279555132,0.8284564895193736,0.9618149219015006,0.7245724788930678,0.1715435104806265
2023-01-20,NSE:PTC-EQ,106.95,3710,396784.5,,0,0.0399051626260602,2.6488754639213496,0.0302187445113919,0.8952781673679289,0.056065044743927,0.0173663195338887,0.13657407407407396,0.6881720430107526,2.405965431517091,0.863425925925926
2023-01-25,NSE:INDIGOPNTS-EQ,1225.35,783,959449.0499999999,,0,0.0190878407918437,0.6182495164643584,0.0072199248825746,1.3775655935038968,-0.0179220528638702,-0.1583695702476061,1.0,1.0715305830987065,-1.995982320541424,0.0
2023-01-25,NSE:DCAL-EQ,85.35,1121,95677.34999999999,,0,0.022428655117583,0.4855280131518382,0.0173522095759196,1.3561804335090804,-0.0235592897427261,-0.2734141814476679,0.9984051036682616,1.1382542472173405,-1.7056987601155806,0.0015948963317383464
2023-01-27,NSE:JINDWORLD-EQ,80.11,1156,92607.16,,0,0.0426378015942365,0.329118692102358,0.0291754287625533,0.7314941954812133,-0.0108638362499649,0.2142463585398027,0.23372319688109155,0.6145300212208213,-0.017468480847362,0.7662768031189084
2023-01-31,NSE:AWL-EQ,466.45,1816,847073.2,,0,0.0391329647948792,0.5637303213912884,0.0262659279149268,1.8044806517311611,-0.0579659499095848,-0.0151528341974488,0.6539502400698385,1.351055847357702,-2.234754850002458,0.34604975993016146
2023-02-01,NSE:INDIGOPNTS-EQ,1156.8,345,399096.0,,0,0.0224541839557399,1.3736116345954683,0.0071941031608572,1.459197786998617,-0.0287942201001486,-0.1729370685548596,1.0,1.135027662517289,-2.401757433644104,0.0
