date,symbol,trade_id,entry_date,entry_price,shares,total_trade_pnl,RSI_14,VOL_20,NORM_ATR,volume_ratio,volume_percentile,ema_50_200_diff,ema_flag
2022-07-11,NSE:HSCL-EQ,3,2022-07-06,73.35,231,2463.216171428572,82.11764705882351,0.0454519370293283,0.0425552634141591,6.651549041110783,0.9722222222222222,0.0604102849721496,1
2022-03-29,NSE:HUDCO-EQ,1,2022-03-16,34.3,3637,1618.3966392857196,52.77777777777777,0.0258372854625834,0.0336318200749687,1.0464859625940903,0.3809523809523809,-0.1122446301708647,-1
2022-05-25,NSE:HUDCO-EQ,4,2022-05-12,31.4,3785,12547.388675000018,0.0,0.0125247922881493,0.0310509554140127,1.2812818025511543,0.5476190476190477,-0.1193056973348368,-1
2024-12-11,NSE:ICIL-EQ,1,2024-11-18,312.7,806,75418.78629999992,34.201550387596896,0.0325949361402615,0.0551190095481748,2.685098125512633,0.8452380952380952,0.0495672638898041,1
2022-07-25,NSE:IDBI-EQ,1,2022-06-27,31.55,3140,19405.62874285717,10.344827586206932,0.0199572912126793,0.0362236812316051,1.398967250155046,0.3492063492063492,-0.1482296313672225,-1
2021-09-21,NSE:IDEA-EQ,2,2021-08-20,5.95,2084,12692.728171428571,30.83333333333333,0.0778261374440617,0.1374549819927971,0.5644873598889404,0.6865079365079365,-0.1817436556509293,-1
2023-03-23,NSE:IDEA-EQ,6,2023-03-21,6.3,2181,971.3948142857155,25.0,0.0140025097850307,0.0294784580498866,0.6962601215986076,0.115079365079365,-0.1722646597157607,-1
2023-04-17,NSE:IDEA-EQ,8,2023-03-31,5.8,25509,15205.076778571412,19.35483870967741,0.0164494167789421,0.042487684729064,1.591965140023535,0.6825396825396826,-0.2046672872685856,-1
2023-07-27,NSE:IDEA-EQ,9,2023-07-25,7.9,16021,18391.219128571418,69.23076923076923,0.0157362928931467,0.033001808318264,0.7883879322942063,0.5238095238095238,-0.0245428951193045,-1
2023-12-15,NSE:IDEA-EQ,11,2023-12-12,13.15,14710,17489.877314285695,36.0,0.0168064205283081,0.0374796306355241,0.9117666263225696,0.7698412698412699,0.1910071115784929,1
2023-12-28,NSE:IDEA-EQ,12,2023-12-20,13.1,3746,955.5549642857143,50.72463768115941,0.0238562946194999,0.0488004362050163,1.8021704682918127,0.9642857142857144,0.1943004991568446,1
2024-01-03,NSE:IDEA-EQ,13,2023-12-28,13.25,26505,108180.83872142865,50.68493150684933,0.0253644860478054,0.0479784366576819,0.5788519532151498,0.6626984126984127,0.1890436960074475,1
2024-02-12,NSE:IDEA-EQ,14,2024-02-01,14.15,24138,38859.42519285716,28.409090909090907,0.0289075908616211,0.0469459868753154,0.6915445222702853,0.6587301587301587,0.2063982259033616,1
2024-02-21,NSE:IDEA-EQ,15,2024-02-12,14.45,13141,25083.41204285711,45.13274336283185,0.0328514850809024,0.0543746910528917,1.3154719981786962,0.9007936507936508,0.1901592493869399,1
2024-02-26,NSE:IDEA-EQ,16,2024-02-21,15.35,3194,9666.064585714288,60.16949152542372,0.0318336251940135,0.0574685900418799,1.0347397674611738,0.8253968253968254,0.1804267762016309,1
2024-04-24,NSE:IDEA-EQ,18,2024-04-12,12.95,27929,47243.7518142857,53.70370370370369,0.0322601434974387,0.0537782680639823,2.458859539621653,0.984126984126984,0.1052279931905223,1
2020-01-22,NSE:IFCI-EQ,1,2020-01-20,6.55,11436,977.1288571428577,48.00000000000001,0.0236100854115907,0.0338058887677208,0.6315802531672778,0.2023809523809523,-0.2690839953704034,-1
2023-06-14,NSE:IFCI-EQ,5,2023-06-09,11.95,5244,824.8124857142844,60.0,0.0228093647549396,0.0340705319784817,0.8736926554720169,0.5555555555555556,-0.0155103016447724,-1
2023-08-02,NSE:IFCI-EQ,6,2023-07-26,12.65,10483,11921.03345714286,54.16666666666668,0.0212326195290994,0.0372670807453416,0.4888436340929039,0.4246031746031746,0.028239884523815,1
2023-08-09,NSE:IFCI-EQ,7,2023-08-02,13.25,1520,2705.1342071428576,63.63636363636363,0.0273082408731749,0.0393530997304582,2.6537172913074283,0.9722222222222222,0.0390286016686694,1
2023-08-11,NSE:IFCI-EQ,8,2023-08-09,14.35,8304,13218.706607142853,70.58823529411765,0.0272092519331027,0.0457939273270283,0.8530848061221973,0.7261904761904762,0.0505139576003451,1
