date,symbol,trade_id,entry_date,entry_price,shares,total_trade_pnl,RSI_14,VOL_20,NORM_ATR,volume_ratio,volume_percentile,ema_50_200_diff,ema_flag,NORM_BB,BB_Squeeze
2024-07-05,NSE:ASIANPAINT-EQ,1,2024-07-02,2925.6,407,5342.123924999962,55.463771536464456,0.0115326547071906,0.0137737313957576,0.8120523076150691,0.6626984126984127,-0.0320956902905749,-1,0.6850914635163106,1.0
2024-07-12,NSE:ASIANPAINT-EQ,2,2024-07-05,2935.9,2,230.96746428571356,53.52043328409653,0.0066828756301853,0.0139589709653403,0.738420682236215,0.4047619047619047,-0.0299121517830479,-1,0.787835718279045,1.0
2023-03-14,NSE:ATGL-EQ,1,2023-03-09,904.4,12,1287.8870678571427,39.62975960694859,0.0465700731297115,0.0499818348391988,0.839234133869755,0.9444444444444444,-0.8389698874813668,-1,0.4818775094980743,1.0
2023-03-27,NSE:ATGL-EQ,3,2023-03-20,852.9,198,35561.8538892857,63.40779421719369,0.04782396447233,0.0613411386362494,0.5981457209279315,0.9206349206349206,-1.028871322899201,-1,0.5295617718799337,1.0
2025-07-24,NSE:BAJAJHFL-EQ,1,2025-07-11,120.79,11,6.505342142857155,60.163551401869206,0.0085875497584272,0.0139853109883741,0.6259632567121615,0.0048780487804878,-0.0557070273033245,-1,0.4582407948624822,1.0
2023-07-25,NSE:BAJAJHIND-EQ,1,2023-07-18,17.05,13978,44761.97099999994,64.70588235294116,0.025664529568575,0.0425219941348973,0.5292989298282521,0.6587301587301587,0.0829480446055076,1,0.6949602547243416,0.0
2021-10-19,NSE:BANKINDIA-EQ,1,2021-10-07,56.4,1773,11361.428453571418,42.38683127572016,0.0231202665308224,0.0333713272543059,0.3983383525322184,0.4444444444444444,-0.0535671569625893,-1,0.5612348298428124,1.0
2024-06-04,NSE:BANKINDIA-EQ,2,2024-05-21,123.2,2153,31506.524007142878,13.163972286374133,0.0302133157680807,0.0489911873840445,0.9599029964702864,0.6349206349206349,0.1335826988675929,1,0.1863694967349156,0.0
2024-05-31,NSE:BATAINDIA-EQ,1,2024-05-29,1373.95,384,19132.564982142838,76.10803324099733,0.0093597054442951,0.0155469371416094,2.103562253263808,0.9246031746031746,-0.0831252770531518,-1,0.8773713895499969,0.0
2019-01-28,NSE:BBL-EQ,2,2019-01-24,532.3,46,1800.56848571429,20.52192922530388,0.0108955103182121,0.0217506239768122,2.6863044243633376,0.5158730158730159,-0.0718073218018072,-1,-0.1583071493610148,0.0
2021-07-20,NSE:BECTORFOOD-EQ,1,2021-07-06,405.4,52,2594.21634285714,42.91044776119404,0.0171035404048538,0.028067517090704,3.590843247728179,0.816793893129771,-0.1178692528149377,-1,0.3978197876028306,1.0
2025-01-30,NSE:BEPL-EQ,1,2025-01-27,110.13,50,837.8299242857145,25.417972831765923,0.0274593993787514,0.0448625650205601,2.2016961317283363,0.626984126984127,0.0128680765414839,1,-0.075295139876335,0.0
2020-07-24,NSE:BLUESTARCO-EQ,1,2020-07-16,242.55,251,558.8008199999992,35.25220860644062,0.0115651422048018,0.0249020820449391,0.2715810337081119,0.238095238095238,-0.2372922003072847,-1,0.2599825435892951,0.0
2020-08-31,NSE:CANBK-EQ,1,2020-08-25,21.34,1097,2227.5278014285723,60.79027355623104,0.0156614236343886,0.0280492703173115,2.086431138401762,0.9246031746031746,-0.2997688838443159,-1,1.069248832899813,0.0
2020-11-05,NSE:CANBK-EQ,2,2020-10-16,17.57,1897,1863.1519064285721,52.06611570247932,0.0277631825384378,0.0369542239206439,0.4155042269038693,0.0158730158730158,-0.3048423072421468,-1,0.3369933496784984,1.0
2020-11-11,NSE:CANBK-EQ,3,2020-11-05,18.3,1417,1587.4650835714287,63.08243727598566,0.0146560688859095,0.0256440281030445,1.7681499381987025,0.6984126984126984,-0.2773133649568164,-1,0.936389374593734,1.0
2019-01-14,NSE:CAPLIPOINT-EQ,1,2019-01-02,382.75,64,2025.6114821428564,27.731092436974848,0.0107327888073316,0.0190445087244564,0.8458688247864526,0.1507936507936507,-0.1480419912293932,-1,0.2610697313297783,1.0
2025-02-03,NSE:CEIGALL-EQ,1,2025-01-28,290.15,57,1546.7606,26.03406326034063,0.0247646413216918,0.0389453730828881,2.758736597505219,0.5126050420168067,-0.087460047787829,-1,-0.1476500705217048,0.0
2022-03-07,NSE:CENTRALBK-EQ,1,2022-02-24,17.65,1352,360.4836035714285,13.888888888888872,0.0227287953289958,0.0386483205180088,1.2202195138111618,0.4365079365079365,0.0048825059476145,1,-0.1696479632871636,0.0
2022-03-24,NSE:CENTRALBK-EQ,2,2022-03-14,18.6,4673,1282.9864500000015,39.00000000000002,0.0251826328503623,0.0378264208909369,0.5459488236951272,0.0119047619047619,-0.0306350404171773,-1,0.4099257307558488,0.0
2024-07-18,NSE:CENTRALBK-EQ,3,2024-07-10,63.87,29,19.9704985714286,41.35071090047391,0.0143871590056295,0.027309937596457,0.8512775567881702,0.2222222222222222,0.116207149474593,1,0.5216847225942369,1.0
2024-08-26,NSE:CENTRALBK-EQ,5,2024-08-05,58.65,18,63.44435142857145,23.30246913580247,0.0218771106745037,0.0434660820850078,1.0729794463556772,0.4404761904761904,0.1047130198941893,1,-0.2945959741282623,0.0
2025-08-22,NSE:CENTRALBK-EQ,7,2025-08-04,36.0,2348,589.2124757142889,16.22418879056056,0.0072055466180491,0.0196230158730159,0.6763744492803208,0.3849206349206349,-0.1638323510326675,-1,0.0857205716892323,0.0
2021-01-18,NSE:CESC-EQ,1,2021-01-06,62.26,433,3368.579222142852,53.58527131782943,0.0167750636174378,0.0284176953788261,1.832788232902908,0.7896825396825397,-0.0178462708707456,-1,0.6780774391237907,0.0
2023-02-17,NSE:CESC-EQ,4,2023-02-13,74.3,1384,6129.2569999999905,50.8474576271186,0.0089529861905189,0.0177850413382041,1.1318303962350622,0.4444444444444444,-0.0307534887362474,-1,0.7919155612494697,1.0
2023-06-23,NSE:CESC-EQ,5,2023-06-13,72.05,3766,1167.171785714276,73.68421052631578,0.0106572843796033,0.0133835630018836,0.9245037174406924,0.8095238095238095,-0.0409061362438143,-1,0.8995768882503755,0.0
2023-06-28,NSE:CESC-EQ,6,2023-06-23,71.9,373,135.21787142857195,61.61616161616176,0.0074236195608553,0.0151003377707132,0.7601618673980071,0.5,-0.0319188301563128,-1,0.6299289622133742,0.0
2020-07-09,NSE:CGPOWER-EQ,1,2020-07-01,8.95,3449,6667.058828571429,90.9090909090909,0.0282827969919462,0.0399042298483639,0.083951021467274,0.0634920634920634,-0.52144661473361,-1,1.1258457166728617,0.0
2024-12-04,NSE:CHENNPETRO-EQ,2,2024-11-14,578.3,272,31356.898528571448,26.566461427019163,0.0362245514528814,0.0573478916034683,1.148439341557948,0.8809523809523809,-0.0892946740554676,-1,0.2220211259753597,0.0
2019-02-08,NSE:CHOLAFIN-EQ,1,2019-01-28,225.67,100,2665.815895714287,24.517512508934917,0.0111826078926845,0.0269103431685963,0.5844402074828452,0.0952380952380952,-0.0819539516507083,-1,0.042892988774208,0.0
2019-12-02,NSE:CIEINDIA-EQ,2,2019-11-19,147.7,199,438.1262178571438,27.516778523489933,0.0162193650062598,0.0382773962665635,1.344390308179317,0.9246031746031746,-0.2493195537303013,-1,0.3489525294350478,1.0
2024-07-05,NSE:CIGNITITEC-EQ,1,2024-07-02,1372.3,6,199.11660000000109,75.49407114624506,0.0065130395892292,0.0112324460499058,0.6743691351086005,0.376984126984127,0.1276402133867209,1,0.9345606631900916,0.0
2024-08-20,NSE:CIGNITITEC-EQ,2,2024-07-31,1366.05,587,4132.763732142931,56.10766045548654,0.0055361559347998,0.0121544390238801,0.5023487493798007,0.6031746031746031,0.1168488523100194,1,0.6255760589245143,0.0
2021-05-17,NSE:COALINDIA-EQ,3,2021-04-29,128.05,638,13618.194078571432,41.62303664921469,0.015963369491262,0.0226195124672282,0.9437566503613064,0.2182539682539682,-0.0328082639811624,-1,0.4661865028466542,1.0
2024-12-30,NSE:CREDITACC-EQ,1,2024-12-19,841.2,1,27.39125357142853,35.10534051935329,0.0319404525652384,0.0335957136064126,0.8425991704682488,0.876984126984127,-0.259293137616281,-1,0.0642499732230613,0.0
2022-06-22,NSE:CSBBANK-EQ,1,2022-06-08,182.55,461,6038.892257142849,45.75163398692814,0.0134065972970808,0.0298743984035684,1.5816200814060988,0.7063492063492064,-0.1994558767171589,-1,0.135562035425686,1.0
2021-01-06,NSE:DABUR-EQ,1,2020-12-21,503.6,53,2138.652210714289,46.01328903654488,0.008099625958618,0.0185450470895268,1.2229879274290731,0.8809523809523809,0.0355914001145286,1,0.3479911642297491,0.0
2025-02-03,NSE:DBL-EQ,1,2025-01-27,377.55,554,29563.863557142846,22.29213483146069,0.0245203134115753,0.0413284900770001,2.0623007345296527,0.8015873015873016,-0.0396178039056257,-1,-0.1114423410773076,0.0
2024-10-14,NSE:DBREALTY-EQ,2,2024-10-07,170.49,7,251.11652571428593,33.940573045631425,0.0277666912293598,0.0480128704658002,1.6663418076933598,0.6111111111111112,-0.0136059406082763,-1,-0.2597346630891829,0.0
